STT,Trường,Mã ngành,Tên ngành,Tổ hợp,Điểm chuẩn ĐGNL HCM 2025,Phương thức,Ghi chú
1,Học Viện Công Nghệ Bưu Chính Viễn Thông,7480202,An toàn thông tin,None,885.377,Điểm ĐGNL HCM,ĐGNL HCM
2,Học Viện Công Nghệ Bưu Chính Viễn Thông,7480202_CLC,An toàn thông tin - Chất lượng cao,None,802.32,Điểm ĐGNL HCM,ĐGNL HCM
3,Học Viện Công Nghệ Bưu Chính Viễn Thông,7320101,Báo chí,None,784.46,Điểm ĐGNL HCM,ĐGNL HCM
4,Học Viện Công Nghệ Bưu Chính Viễn Thông,7510301,"Công nghệ Kỹ thuật Điện, điện tử",None,861.034,Điểm ĐGNL HCM,ĐGNL HCM
5,Học Viện Công Nghệ Bưu Chính Viễn Thông,7480201,Công nghệ thông tin,None,906.8,Điểm ĐGNL HCM,ĐGNL HCM
6,Học Viện Công Nghệ Bưu Chính Viễn Thông,7480201_UDU,Công nghệ thông tin (Cử nhân định hướng ứng dụng),None,766.6,Điểm ĐGNL HCM,ĐGNL HCM
7,Học Viện Công Nghệ Bưu Chính Viễn Thông,7480201_CLC,Công nghệ thông tin CLC,None,820.057,Điểm ĐGNL HCM,ĐGNL HCM
8,Học Viện Công Nghệ Bưu Chính Viễn Thông,7480201-VNH,Công nghệ thông tin Việt - Nhật,None,815.24,Điểm ĐGNL HCM,ĐGNL HCM
9,Học Viện Công Nghệ Bưu Chính Viễn Thông,7340205,Công nghệ tài chính (Fintech),None,821.274,Điểm ĐGNL HCM,ĐGNL HCM
10,Học Viện Công Nghệ Bưu Chính Viễn Thông,7510301_MBD,"Công nghệ vi mạch bán dẫn (ngành Công nghệ Kỹ thuật Điện, điện tử)",None,896,Điểm ĐGNL HCM,ĐGNL HCM
11,Học Viện Công Nghệ Bưu Chính Viễn Thông,7329001,Công nghệ đa phương tiện,None,836.286,Điểm ĐGNL HCM,ĐGNL HCM
12,Học Viện Công Nghệ Bưu Chính Viễn Thông,7480101,Khoa học máy tính (định hướng Khoa học dữ liệu),None,921.56,Điểm ĐGNL HCM,ĐGNL HCM
13,Học Viện Công Nghệ Bưu Chính Viễn Thông,7340301,Kế toán,None,778,Điểm ĐGNL HCM,ĐGNL HCM
14,Học Viện Công Nghệ Bưu Chính Viễn Thông,7340301-CLC,Kế toán chất lượng cao (chuẩn quốc tế ACCA),None,721,Điểm ĐGNL HCM,ĐGNL HCM
15,Học Viện Công Nghệ Bưu Chính Viễn Thông,7480102,Kỹ thuật dữ liệu (ngành Mạng máy tính và truyền thông dữ liệu),None,852.514,Điểm ĐGNL HCM,ĐGNL HCM
16,Học Viện Công Nghệ Bưu Chính Viễn Thông,7520216,Kỹ thuật Điều khiển và tự động hóa,None,920.84,Điểm ĐGNL HCM,ĐGNL HCM
17,Học Viện Công Nghệ Bưu Chính Viễn Thông,7520207,Kỹ thuật Điện tử viễn thông,None,880.914,Điểm ĐGNL HCM,ĐGNL HCM
18,Học Viện Công Nghệ Bưu Chính Viễn Thông,7340101-LOG,Logistics và quản trị chuỗi cung ứng (ngành Quản trị kinh doanh),None,844.4,Điểm ĐGNL HCM,ĐGNL HCM
19,Học Viện Công Nghệ Bưu Chính Viễn Thông,7340115,Marketing,None,836.286,Điểm ĐGNL HCM,ĐGNL HCM
20,Học Viện Công Nghệ Bưu Chính Viễn Thông,7340115_CLC,Marketing (chất lượng cao),None,759,Điểm ĐGNL HCM,ĐGNL HCM
21,Học Viện Công Nghệ Bưu Chính Viễn Thông,7340115_QHC,Quan hệ công chúng (ngành Marketing),None,814.86,Điểm ĐGNL HCM,ĐGNL HCM
22,Học Viện Công Nghệ Bưu Chính Viễn Thông,7340101,Quản trị kinh doanh,None,787.5,Điểm ĐGNL HCM,ĐGNL HCM
23,Học Viện Công Nghệ Bưu Chính Viễn Thông,7329001_GAM,Thiết kế và phát triển Game (ngành Công nghệ đa phương tiện),None,815.24,Điểm ĐGNL HCM,ĐGNL HCM
24,Học Viện Công Nghệ Bưu Chính Viễn Thông,7340122,Thương mại điện tử,None,880.914,Điểm ĐGNL HCM,ĐGNL HCM
25,Học Viện Công Nghệ Bưu Chính Viễn Thông,7320104,Truyền thông đa phương tiện,None,887,Điểm ĐGNL HCM,ĐGNL HCM
26,Học Viện Công Nghệ Bưu Chính Viễn Thông,7320104_CLC,Truyền thông đa phương tiện - Chương trình đào tạo chất lượng cao,None,783.7,Điểm ĐGNL HCM,ĐGNL HCM
27,Học Viện Công Nghệ Bưu Chính Viễn Thông,7480107,Trí tuệ nhân tạo,None,902.12,Điểm ĐGNL HCM,ĐGNL HCM
28,Học Viện Công Nghệ Bưu Chính Viễn Thông,7520207_AIoT,Trí tuệ nhân tạo vạn vật (AIoT) (ngành Kỹ thuật Điện tử viễn thông),None,871.583,Điểm ĐGNL HCM,ĐGNL HCM
29,Học Viện Hàng không Việt Nam,7480201S,Công nghệ phần mềm và Trí tuệ nhân tạo (Ngành: CNTT),None,640,Điểm ĐGNL HCM,ĐGNL HCM
30,Học Viện Hàng không Việt Nam,7340101D,Kinh doanh số (Ngành: QTKD),None,697.5,Điểm ĐGNL HCM,ĐGNL HCM
31,Học Viện Hàng không Việt Nam,7840104K,Kinh tế Hàng không (Ngành: Kinh tế vận tải),None,785,Điểm ĐGNL HCM,ĐGNL HCM
32,Học Viện Hàng không Việt Nam,7520120M,Kỹ thuật bảo dưỡng tàu bay (Ngành: Kỹ thuật HK),None,815,Điểm ĐGNL HCM,ĐGNL HCM
33,Học Viện Hàng không Việt Nam,7520120,Kỹ thuật hàng không,None,830,Điểm ĐGNL HCM,ĐGNL HCM
34,Học Viện Hàng không Việt Nam,7520120E,Kỹ thuật hàng không (học bằng Tiếng Anh),None,815,Điểm ĐGNL HCM,ĐGNL HCM
35,Học Viện Hàng không Việt Nam,7520120U,Kỹ thuật thiết bị bay không người lái (Ngành: Kỹ thuật HK),None,697.5,Điểm ĐGNL HCM,ĐGNL HCM
36,Học Viện Hàng không Việt Nam,7840104,Logistics và Quản lý Chuỗi cung ứng; Logistics và Vận tải đa phương thức,None,800,Điểm ĐGNL HCM,ĐGNL HCM
37,Học Viện Hàng không Việt Nam,7840104E,Logistics và Vận tải đa phương thức (học bằng Tiếng Anh),None,755,Điểm ĐGNL HCM,ĐGNL HCM
38,Học Viện Hàng không Việt Nam,7340115,Marketing,None,830,Điểm ĐGNL HCM,ĐGNL HCM
39,Học Viện Hàng không Việt Nam,7220201,Ngôn ngữ Anh,None,697.5,Điểm ĐGNL HCM,ĐGNL HCM
40,Học Viện Hàng không Việt Nam,7840102E,Quản lý hoạt động bay (học bằng Tiếng Anh); Quản lý và khai thác bay (học bằng Tiếng Anh),None,921.25,Điểm ĐGNL HCM,ĐGNL HCM
41,Học Viện Hàng không Việt Nam,7840102,Quản lý hoạt động bay; Hệ thống kỹ thuật quản lý bay,None,845,Điểm ĐGNL HCM,ĐGNL HCM
42,Học Viện Hàng không Việt Nam,7510102Q,Quản lý và khai thác cảng HK (Ngành: CNKT Công trình xây dựng),None,697.5,Điểm ĐGNL HCM,ĐGNL HCM
43,Học Viện Hàng không Việt Nam,7340101E,Quản trị Hàng không (học bằng Tiếng Anh),None,726.5,Điểm ĐGNL HCM,ĐGNL HCM
44,Học Viện Hàng không Việt Nam,7810103A,Quản trị dịch vụ thương mại hàng không,None,800,Điểm ĐGNL HCM,ĐGNL HCM
45,Học Viện Hàng không Việt Nam,7810103H,Quản trị khách sạn nhà hàng,None,755,Điểm ĐGNL HCM,ĐGNL HCM
46,Học Viện Hàng không Việt Nam,7340101,Quản trị kinh doanh,None,726.25,Điểm ĐGNL HCM,ĐGNL HCM
47,Học Viện Hàng không Việt Nam,7810103T,Quản trị lữ hành,None,755,Điểm ĐGNL HCM,ĐGNL HCM
48,Học Viện Hàng không Việt Nam,7340404,Quản trị nhân lực,None,740.63,Điểm ĐGNL HCM,ĐGNL HCM
49,Học Viện Hàng không Việt Nam,7510303U,Thiết bị bay không người lái và Robotics (Ngành: CNKT Điều khiển và tự động hóa),None,640,Điểm ĐGNL HCM,ĐGNL HCM
50,Học Viện Hàng không Việt Nam,7340120,Thương mại quốc tế (Ngành: Kinh doanh quốc tế),None,785,Điểm ĐGNL HCM,ĐGNL HCM
51,Học Viện Hàng không Việt Nam,7480201B,Trí tuệ nhân tạo và Dữ liệu lớn (Ngành: CNTT),None,640,Điểm ĐGNL HCM,ĐGNL HCM
52,Học Viện Hàng không Việt Nam,7480201I,Trí tuệ nhân tạo và Internet vạn vật (Ngành: CNTT),None,640,Điểm ĐGNL HCM,ĐGNL HCM
53,Học Viện Hàng không Việt Nam,7510102X,Xây dựng và phát triển cảng HK (Ngành: CNKT Công trình xây dựng),None,640,Điểm ĐGNL HCM,ĐGNL HCM
54,Học Viện Hàng không Việt Nam,7510302V,Điện tử viễn thông và Trí tuệ nhân tạo (Ngành: CNKT Điện tử viễn thông),None,697.5,Điểm ĐGNL HCM,ĐGNL HCM
55,Học Viện Hàng không Việt Nam,7510302A,Điện tử ứng dụng và Trí tuệ nhân tạo (AI) (Ngành: CNKT Điện tử viễn thông),None,640,Điểm ĐGNL HCM,ĐGNL HCM
56,Học Viện Hàng không Việt Nam,7510303A,Điện tự động cảng HK (Ngành: CNKT Điều khiển và tự động hóa),None,697.5,Điểm ĐGNL HCM,ĐGNL HCM
57,Học Viện Hải Quân,7860202_B,Chỉ huy tham mưu Hải quân (Thí sinh miền Bắc),None,835,Điểm ĐGNL HCM,ĐGNL HCM
58,Học Viện Hải Quân,7860202_N,Chỉ huy tham mưu Hải quân (Thí sinh miền Nam),None,800,Điểm ĐGNL HCM,ĐGNL HCM
59,Học Viện Hậu Cần - Hệ Quân sự,7860218_Nam_B,Hậu cần quân sự (Thí sinh Nam miền Bắc),None,910,Điểm ĐGNL HCM,ĐGNL HCM
60,Học Viện Hậu Cần - Hệ Quân sự,7860218_Nam_N,Hậu cần quân sự (Thí sinh Nam miền Nam),None,820,Điểm ĐGNL HCM,ĐGNL HCM
61,Học Viện Hậu Cần - Hệ Quân sự,7860218_Nu_B,Hậu cần quân sự (Thí sinh Nữ miền Bắc),None,1010,Điểm ĐGNL HCM,ĐGNL HCM
62,Học Viện Hậu Cần - Hệ Quân sự,7860218_Nu_N,Hậu cần quân sự (Thí sinh Nữ miền Nam),None,985,Điểm ĐGNL HCM,ĐGNL HCM
63,Học Viện Khoa Học Quân Sự - Hệ Quân sự,7220201_Nam,Ngôn ngữ Anh (Thí sinh Nam),None,1040,Điểm ĐGNL HCM,ĐGNL HCM
64,Học Viện Khoa Học Quân Sự - Hệ Quân sự,7220201_Nu,Ngôn ngữ Anh (Thí sinh Nữ),None,1105,Điểm ĐGNL HCM,ĐGNL HCM
65,Học Viện Khoa Học Quân Sự - Hệ Quân sự,7220202_Nam,Ngôn ngữ Nga (Thí sinh Nam),None,960,Điểm ĐGNL HCM,ĐGNL HCM
66,Học Viện Khoa Học Quân Sự - Hệ Quân sự,7220202_Nu,Ngôn ngữ Nga (Thí sinh Nữ),None,1127,Điểm ĐGNL HCM,ĐGNL HCM
67,Học Viện Khoa Học Quân Sự - Hệ Quân sự,7220204_Nam,Ngôn ngữ Trung Quốc (Thí sinh Nam),None,980,Điểm ĐGNL HCM,ĐGNL HCM
68,Học Viện Khoa Học Quân Sự - Hệ Quân sự,7220204_Nu,Ngôn ngữ Trung Quốc (Thí sinh Nữ),None,1124,Điểm ĐGNL HCM,ĐGNL HCM
69,Học Viện Khoa Học Quân Sự - Hệ Quân sự,7310206_Nam,Quan hệ quốc tế (Thí sinh Nam),None,1080,Điểm ĐGNL HCM,ĐGNL HCM
70,Học Viện Khoa Học Quân Sự - Hệ Quân sự,7310206_Nu,Quan hệ quốc tế (Thí sinh Nữ),None,1133,Điểm ĐGNL HCM,ĐGNL HCM
71,Học Viện Khoa Học Quân Sự - Hệ Quân sự,7860231_Nam_B,"Trinh sát kỹ thuật (Thí sinh Nam, miền Bắc)",None,935,Điểm ĐGNL HCM,ĐGNL HCM
72,Học Viện Khoa Học Quân Sự - Hệ Quân sự,7860231_Nam_N,"Trinh sát kỹ thuật (Thí sinh Nam, miền Nam)",None,915,Điểm ĐGNL HCM,ĐGNL HCM
73,Học Viện Kỹ Thuật Quân Sự - Hệ Quân sự,7860220_Nam_B,"Kỹ sư quân sự  (miền Bắc, thí sinh Nam)",None,27.75,Điểm ĐGNL HCM,ĐGNL HCM
74,Học Viện Kỹ Thuật Quân Sự - Hệ Quân sự,7860220_Nu_B,"Kỹ sư quân sự  (miền Bắc, thí sinh Nữ)",None,28.83,Điểm ĐGNL HCM,ĐGNL HCM
75,Học Viện Kỹ Thuật Quân Sự - Hệ Quân sự,7860220_Nam_N,"Kỹ sư quân sự  (miền Nam, thí sinh Nam)",None,26.4,Điểm ĐGNL HCM,ĐGNL HCM
76,Học Viện Kỹ Thuật Quân Sự - Hệ Quân sự,7860220_Nu_N,"Kỹ sư quân sự  (miền Nam, thí sinh Nữ)",None,29.25,Điểm ĐGNL HCM,ĐGNL HCM
77,Học Viện Phòng Không – Không Quân,7860226_B,"Ngành Chỉ huy Tham mưu Phòng không, Không quân và Tác chiến điện tử (Thí sinh miền Bắc)",None,865,Điểm ĐGNL HCM,ĐGNL HCM
78,Học Viện Phòng Không – Không Quân,7860226_N,"Ngành Chỉ huy Tham mưu Phòng không, Không quân và Tác chiến điện tử (Thí sinh miền Nam)",None,805,Điểm ĐGNL HCM,ĐGNL HCM
79,Học Viện Phòng Không – Không Quân,7520120_B,Ngành Kỹ thuật Hàng không (Thí sinh miền Bắc),None,933,Điểm ĐGNL HCM,ĐGNL HCM
80,Học Viện Phòng Không – Không Quân,7520120_N,Ngành Kỹ thuật Hàng không (Thí sinh miền Nam),None,878,Điểm ĐGNL HCM,ĐGNL HCM
81,Học Viện Quân Y - Hệ Quân sự,7720201_Nam_B,"Dược học (Thí sinh Nam, miền Bắc)",None,885,Điểm ĐGNL HCM,ĐGNL HCM
82,Học Viện Quân Y - Hệ Quân sự,7720201_Nam_N,"Dược học (Thí sinh Nam, miền Nam)",None,870,Điểm ĐGNL HCM,ĐGNL HCM
83,Học Viện Quân Y - Hệ Quân sự,7720201_Nu_B,"Dược học (Thí sinh Nữ, miền Bắc)",None,1010,Điểm ĐGNL HCM,ĐGNL HCM
84,Học Viện Quân Y - Hệ Quân sự,7720201_Nu_N,"Dược học (Thí sinh Nữ, miền Nam)",None,995,Điểm ĐGNL HCM,ĐGNL HCM
85,Học Viện Quân Y - Hệ Quân sự,7720101_Nam_B,"Ngành Y khoa (Bác sỹ đa khoa) (Thí sinh Nam, miền Bắc)",None,985,Điểm ĐGNL HCM,ĐGNL HCM
86,Học Viện Quân Y - Hệ Quân sự,7720101_Nam_N,"Ngành Y khoa (Bác sỹ đa khoa) (Thí sinh Nam, miền Nam)",None,975,Điểm ĐGNL HCM,ĐGNL HCM
87,Học Viện Quân Y - Hệ Quân sự,7720101_Nu_B,"Ngành Y khoa (Bác sỹ đa khoa) (Thí sinh Nữ, miền Bắc)",None,1121,Điểm ĐGNL HCM,ĐGNL HCM
88,Học Viện Quân Y - Hệ Quân sự,7720101_Nu_N,"Ngành Y khoa (Bác sỹ đa khoa) (Thí sinh Nữ, miền Nam)",None,1060,Điểm ĐGNL HCM,ĐGNL HCM
89,Khoa Kỹ thuật và Công nghệ - Đại học Huế,7510205,Công nghệ kỹ thuật ô tô,None,800,Điểm ĐGNL HCM,ĐGNL HCM
90,Khoa Kỹ thuật và Công nghệ - Đại học Huế,7510301,"Công nghệ kỹ thuật điện, điện tử",None,728,Điểm ĐGNL HCM,ĐGNL HCM
91,Khoa Kỹ thuật và Công nghệ - Đại học Huế,7510301_CNTKVM,"Công nghệ kỹ thuật điện, điện tử (Chương trình đào tạo Công nghệ thiết kế vi mạch)",None,962,Điểm ĐGNL HCM,ĐGNL HCM
92,Khoa Kỹ thuật và Công nghệ - Đại học Huế,7480112KS ,Khoa học dữ liệu và trí tuệ nhân tạo,None,784,Điểm ĐGNL HCM,ĐGNL HCM
93,Khoa Kỹ thuật và Công nghệ - Đại học Huế,7580201,Kỹ thuật xây dựng,None,640,Điểm ĐGNL HCM,ĐGNL HCM
94,Khoa Kỹ thuật và Công nghệ - Đại học Huế,7520216,Kỹ thuật điều kiển và tự động hoá,None,740,Điểm ĐGNL HCM,ĐGNL HCM
95,Khoa Kỹ thuật và Công nghệ - Đại học Huế,7520201,Kỹ thuật điện,None,688,Điểm ĐGNL HCM,ĐGNL HCM
96,Phân hiệu Đại học Nông Lâm TPHCM tại Gia Lai,7520320G,Kỹ thuật môi trường (Phân hiệu Gia Lai),None,650,Điểm ĐGNL HCM,ĐGNL HCM
97,Phân hiệu Đại học Nông Lâm TPHCM tại Gia Lai,7620109G,Nông học (Phân hiệu Gia Lai),None,601,Điểm ĐGNL HCM,ĐGNL HCM
98,Phân hiệu Đại học Nông Lâm TPHCM tại Gia Lai,7340101G,Quản trị kinh doanh (Phân hiệu Gia Lai),None,601,Điểm ĐGNL HCM,ĐGNL HCM
99,Phân hiệu Đại học Nông Lâm TPHCM tại Gia Lai,7640101G,Thú y (Phân hiệu Gia Lai),None,601,Điểm ĐGNL HCM,ĐGNL HCM
100,Phân hiệu Đại học Nông Lâm TPHCM tại Ninh Thuận,7519007N,Công nghệ kỹ thuật năng lượng tái tạo (Phân hiệu Ninh Thuận),None,601,Điểm ĐGNL HCM,ĐGNL HCM
101,Phân hiệu Đại học Nông Lâm TPHCM tại Ninh Thuận,7480201N,Công nghệ thông tin (Phân hiệu Ninh Thuận),None,601,Điểm ĐGNL HCM,ĐGNL HCM
102,Phân hiệu Đại học Nông Lâm TPHCM tại Ninh Thuận,7340301N,Kế toán (Phân hiệu Ninh Thuận),None,601,Điểm ĐGNL HCM,ĐGNL HCM
103,Phân hiệu Đại học Nông Lâm TPHCM tại Ninh Thuận,7220201N,Ngôn ngữ Anh (Phân hiệu Ninh Thuận),None,601,Điểm ĐGNL HCM,ĐGNL HCM
104,Phân hiệu Đại học Nông Lâm TPHCM tại Ninh Thuận,7620109N,Nông học (Phân hiệu Ninh Thuận),None,601,Điểm ĐGNL HCM,ĐGNL HCM
105,Phân hiệu Đại học Nông Lâm TPHCM tại Ninh Thuận,7340101N,Quản trị kinh doanh (Phân hiệu Ninh Thuận),None,601,Điểm ĐGNL HCM,ĐGNL HCM
106,Phân hiệu Đại học Nông Lâm TPHCM tại Ninh Thuận,7640101N,Thú y (Phân hiệu Ninh Thuận),None,601,Điểm ĐGNL HCM,ĐGNL HCM
107,Trường Sĩ Quan Chính Trị - Đại Học Chính Trị,7310202_B,Xây dựng Đảng và Chính quyền Nhà nước (miền Bắc),None,995,Điểm ĐGNL HCM,ĐGNL HCM
108,Trường Sĩ Quan Chính Trị - Đại Học Chính Trị,7310202_N,Xây dựng Đảng và Chính quyền Nhà nước (miền Nam),None,955,Điểm ĐGNL HCM,ĐGNL HCM
109,Trường Sĩ Quan Không Quân - Hệ Đại học,7860203_NL_B,Chỉ huy tham mưu Không quân (Thiết bị bay không người lái) - Thí sinh miền Bắc,None,565,Điểm ĐGNL HCM,ĐGNL HCM
110,Trường Sĩ Quan Không Quân - Hệ Đại học,7860203_NL_N,Chỉ huy tham mưu Không quân (Thiết bị bay không người lái) - Thí sinh miền Nam,None,565,Điểm ĐGNL HCM,ĐGNL HCM
111,Trường Sĩ Quan Không Quân - Hệ Đại học,7860203_PCQS,Chỉ huy tham mưu không quân (Phi công quân sự),None,630,Điểm ĐGNL HCM,ĐGNL HCM
112,Trường Sĩ Quan Phòng Hóa,7860229_B,Ngành Chỉ huy Kỹ thuật hóa học (Thí sinh ở miền Bắc),None,797,Điểm ĐGNL HCM,ĐGNL HCM
113,Trường Sĩ Quan Phòng Hóa,7860229_N,Ngành Chỉ huy Kỹ thuật hóa học (Thí sinh ở miền Nam),None,779,Điểm ĐGNL HCM,ĐGNL HCM
114,Trường Sĩ Quan Thông Tin - Hệ Quân sự - Đại Học Thông Tin Liên Lạc,7860219_B,Chỉ huy - Tham mưu Thông tin (miền Bắc),None,827,Điểm ĐGNL HCM,ĐGNL HCM
115,Trường Sĩ Quan Thông Tin - Hệ Quân sự - Đại Học Thông Tin Liên Lạc,7860219_N,Chỉ huy - Tham mưu Thông tin (miền Nam),None,789,Điểm ĐGNL HCM,ĐGNL HCM
116,Trường Sĩ Quan Đặc Công,7860207_B,Ngành Chỉ huy tham mưu Đặc công (Thí sinh Nam miền Bắc),None,785,Điểm ĐGNL HCM,ĐGNL HCM
117,Trường Sĩ Quan Đặc Công,7860207_N,Ngành Chỉ huy tham mưu Đặc công (Thí sinh Nam miền Nam),None,735,Điểm ĐGNL HCM,ĐGNL HCM
118,Trường Đại Học An Giang,7620112,Bảo vệ thực vật,None,500,Điểm ĐGNL HCM,ĐGNL HCM
119,Trường Đại Học An Giang,7620105,Chăn nuôi,None,500,Điểm ĐGNL HCM,ĐGNL HCM
120,Trường Đại Học An Giang,7510401,Công nghệ kỹ thuật hoá học,None,500,Điểm ĐGNL HCM,ĐGNL HCM
121,Trường Đại Học An Giang,7510406,Công nghệ kỹ thuật môi trường,None,501,Điểm ĐGNL HCM,ĐGNL HCM
122,Trường Đại Học An Giang,7620190,Công nghệ nông nghiệp số,None,500,Điểm ĐGNL HCM,ĐGNL HCM
123,Trường Đại Học An Giang,7540104,Công nghệ sau thu hoạch,None,500,Điểm ĐGNL HCM,ĐGNL HCM
124,Trường Đại Học An Giang,7420201,Công nghệ sinh học,None,500,Điểm ĐGNL HCM,ĐGNL HCM
125,Trường Đại Học An Giang,7480201,Công nghệ thông tin,None,500,Điểm ĐGNL HCM,ĐGNL HCM
126,Trường Đại Học An Giang,7540101,Công nghệ thực phẩm,None,500,Điểm ĐGNL HCM,ĐGNL HCM
127,Trường Đại Học An Giang,7140205,Giáo dục Chính trị,None,894,Điểm ĐGNL HCM,ĐGNL HCM
128,Trường Đại Học An Giang,7140201,Giáo dục Mầm non,None,822,Điểm ĐGNL HCM,ĐGNL HCM
129,Trường Đại Học An Giang,7140202,Giáo dục Tiểu học,None,804,Điểm ĐGNL HCM,ĐGNL HCM
130,Trường Đại Học An Giang,7620110,Khoa học cây trồng,None,500,Điểm ĐGNL HCM,ĐGNL HCM
131,Trường Đại Học An Giang,7620191,Kinh doanh nông nghiệp số,None,500,Điểm ĐGNL HCM,ĐGNL HCM
132,Trường Đại Học An Giang,7310106,Kinh tế quốc tế,None,500,Điểm ĐGNL HCM,ĐGNL HCM
133,Trường Đại Học An Giang,7340301,Kế toán,None,600,Điểm ĐGNL HCM,ĐGNL HCM
134,Trường Đại Học An Giang,7480103,Kỹ thuật phần mềm,None,500,Điểm ĐGNL HCM,ĐGNL HCM
135,Trường Đại Học An Giang,7380101,Luật,None,720,Điểm ĐGNL HCM,ĐGNL HCM
136,Trường Đại Học An Giang,7340115,Marketing,None,600,Điểm ĐGNL HCM,ĐGNL HCM
137,Trường Đại Học An Giang,7220201,Ngôn ngữ Anh,None,513,Điểm ĐGNL HCM,ĐGNL HCM
138,Trường Đại Học An Giang,7620301,Nuôi trồng thủy sản,None,500,Điểm ĐGNL HCM,ĐGNL HCM
139,Trường Đại Học An Giang,7620116,Phát triển nông thôn,None,500,Điểm ĐGNL HCM,ĐGNL HCM
140,Trường Đại Học An Giang,7850101,Quản lý tài nguyên và môi trường,None,500,Điểm ĐGNL HCM,ĐGNL HCM
141,Trường Đại Học An Giang,7340101,Quản trị kinh doanh,None,600,Điểm ĐGNL HCM,ĐGNL HCM
142,Trường Đại Học An Giang,7140212,Sư phạm Hóa học,None,880,Điểm ĐGNL HCM,ĐGNL HCM
143,Trường Đại Học An Giang,7140247,Sư phạm Khoa học tự nhiên,None,859,Điểm ĐGNL HCM,ĐGNL HCM
144,Trường Đại Học An Giang,7140218,Sư phạm Lịch sử,None,931,Điểm ĐGNL HCM,ĐGNL HCM
145,Trường Đại Học An Giang,7140249,Sư phạm Lịch sử - Địa lý,None,884,Điểm ĐGNL HCM,ĐGNL HCM
146,Trường Đại Học An Giang,7140217,Sư phạm Ngữ văn,None,870,Điểm ĐGNL HCM,ĐGNL HCM
147,Trường Đại Học An Giang,7140213,Sư phạm Sinh học,None,824,Điểm ĐGNL HCM,ĐGNL HCM
148,Trường Đại Học An Giang,7140231,Sư phạm Tiếng Anh,None,808,Điểm ĐGNL HCM,ĐGNL HCM
149,Trường Đại Học An Giang,7140209,Sư phạm Toán học,None,936,Điểm ĐGNL HCM,ĐGNL HCM
150,Trường Đại Học An Giang,7140211,Sư phạm Vật lý,None,894,Điểm ĐGNL HCM,ĐGNL HCM
151,Trường Đại Học An Giang,7140219,Sư phạm Địa lý,None,913,Điểm ĐGNL HCM,ĐGNL HCM
152,Trường Đại Học An Giang,7640101,Thú y,None,595,Điểm ĐGNL HCM,ĐGNL HCM
153,Trường Đại Học An Giang,7229001,Triết học,None,729,Điểm ĐGNL HCM,ĐGNL HCM
154,Trường Đại Học An Giang,7340201,Tài chính - Ngân hàng,None,600,Điểm ĐGNL HCM,ĐGNL HCM
155,Trường Đại Học An Giang,7310630,Việt Nam học,None,656,Điểm ĐGNL HCM,ĐGNL HCM
156,Trường Đại Học An Giang,7229030,Văn học,None,789,Điểm ĐGNL HCM,ĐGNL HCM
157,Trường Đại Học An Giang,7540106,Đảm bảo chất lượng và an toàn thực phẩm,None,500,Điểm ĐGNL HCM,ĐGNL HCM
158,Trường Đại Học Bách Khoa HCM,145,(Song ngành) Tàu thủy - Hàng không,A00; A01; X06; X07; X08,76.63,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL+THPT+GPA)
159,Trường Đại Học Bách Khoa HCM,141,Bảo dưỡng Công nghiệp,A00; A01; X06; X07,65.59,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL+THPT+GPA)
160,Trường Đại Học Bách Khoa HCM,218,Công nghệ Sinh học,B00; A02; B08; X14; X15; D07,66.13,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL+THPT+GPA)
161,Trường Đại Học Bách Khoa HCM,254,Công nghệ Sinh học số (Ngành mới),B00; A02; B08; X14; X15; X16; D07,56.42,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL+THPT+GPA)
162,Trường Đại Học Bách Khoa HCM,416,Công nghệ Thông tin | ĐH Công nghệ Sydney (Úc) cấp bằng,A00; A01; X06; X07; X08,57.38,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL+THPT+GPA)
163,Trường Đại Học Bách Khoa HCM,219,Công nghệ Thực phẩm,A00; B00; B08; D07; X10; X11,59.21,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL+THPT+GPA)
164,Trường Đại Học Bách Khoa HCM,319,Công nghệ Thực phẩm | New Zealand,A00; B00; B08; D07; X10; X11,56.2,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL+THPT+GPA)
165,Trường Đại Học Bách Khoa HCM,268,Cơ Kỹ thuật,A00; A01; X06; X07,69.4,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL+THPT+GPA)
166,Trường Đại Học Bách Khoa HCM,138,Cơ Kỹ thuật,A00; A01; X06; X07,75.98,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL+THPT+GPA)
167,Trường Đại Học Bách Khoa HCM,120,Dầu khí - Địa chất,A00; A01; X07; X08,60,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL+THPT+GPA)
168,Trường Đại Học Bách Khoa HCM,112,Dệt - May,A00; A01; X06; X07; X08,60.75,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL+THPT+GPA)
